itemID,itemName,toScan,replacementPacket,packetWorks
1,Holzstock,0,0,1
2,Holzknüppel,0,0,1
3,Holzschwert,0,0,1
4,Holzhammer,0,0,1
5,Schwerer Holzhammer,0,0,1
6,Holzschwert des Lehrlings,0,0,1
7,Schwert des Abenteurers,0,0,1
8,Holzschleuder,0,0,1
9,Schwere Holzschleuder,0,0,1
10,Holzschleuder des Lehrlings,0,0,1
11,Schleuder des Abenteurers,0,0,1
12,Kleidung,0,0,1
13,Trainingsuniform,0,0,1
14,Abenteurerkleidung,0,0,1
15,Trainingsrüstung,0,0,1
16,Mantelset des Reisenden,0,0,1
17,Warmes Mantelset,0,0,1
18,Anfängerschwert,0,0,1
19,Kurzschwert,0,0,1
20,Schwert des Leidens,0,0,1
21,Kurzes Schwert,0,0,1
22,Bronzenes Schwert,0,0,1
23,Säbel,0,0,1
24,Breitschwert des Geistes,0,0,1
25,Falchion,0,0,1
26,Goldener Säbel,0,0,1
29,Breitschwert,0,0,1
28,Langschwert der Macht,0,0,1
30,Skyabona,0,0,1
31,Claymore,0,0,1
32,Anfängerbogen,0,0,1
33,Kleiner Bogen,0,0,1
34,Bogen der Geschwindigkeit,0,0,1
35,Bambusbogen,0,0,1
36,Magischer Bogen,0,0,1
37,Eichenbogen,0,0,1
38,Bogen des Windes,0,0,1
39,Hornbogen,0,0,1
40,Lederbogen,0,0,1
41,Jagdbogen,0,0,1
42,Bogen des Mutes,0,0,1
43,Langbogen,0,0,1
44,Bronzebogen,0,0,1
45,Bogen des Geistes,0,0,1
46,Anfängerzauberstab,0,0,1
47,Roter Perlenzauberstab,0,0,1
48,Zauberstab des Geistes,0,0,1
49,Rubinzauberstab,0,0,1
50,Magischer Zauberstab,0,0,1
51,Blauer Perlenzauberstab,0,0,1
52,Zauberstab des Lichts,0,0,1
53,Zauberrute mit Opal,0,0,1
54,Manaherstellender Zauberstab,0,0,1
55,Korallenbesetzter Zauberstab,0,0,1
56,Zauberstab der Ehre,0,0,1
57,Kristallzauberstab,0,0,1
58,Zauberstab der Intelligenz,0,0,1
59,Zauberstab des Schattens,0,0,1
60,Lederhandschuhe,0,0,1
61,Haltbare Handschuhe,0,0,1
62,Abenteurerschuhe,0,0,1
63,Stöckelschuhe,0,0,1
64,Lederschuhe,0,0,1
65,Rollschuhe,0,0,1
66,Schwert des Meisters,0,0,1
67,Schleuder des Meisters,0,0,1
68,Anfängerarmbrust,0,0,1
69,Armbrust aus Eichenholz,0,0,1
70,Feenarmbrust,0,0,1
71,Dünne Handschuhe,0,0,1
72,Gummihandschuhe,0,0,1
73,Stählerne Armbrust,0,0,1
74,Meisterliche Armbrust,0,0,1
75,Armbrust der Schatten,0,0,1
76,Buchenholzarmbrust,0,0,1
77,Armbrust des Mutes,0,0,1
78,Anfängerdolch,0,0,1
79,Dolch,0,0,1
